feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Peptoniphilus_harei	BMI	BMI	0.285578749505344	0.0162567420445734	10001	2620	4.65130257707335e-68	4.9396833368519e-65
Lactobacillus_crispatus	Cohort	BV only	-1.18562175382727	0.0680520512353917	10001	9982	5.44909769325225e-67	2.89347087511695e-64
Gardnerella_piotii	Cohort	BV only	0.870254354844192	0.0513986730770615	10001	9242	2.01648231221739e-63	7.13834738524957e-61
Finegoldia_magna	BMI	BMI	0.304882748833418	0.0182807478068314	10001	3880	1.29171956760255e-61	3.42951545198476e-59
Gardnerella_vaginalis	Cohort	BV only	0.837372022579626	0.0505924459869579	10001	9991	1.00561290337029e-60	2.1359218067585e-58
Lactobacillus_amylovorus	Cohort	BV only	-0.686665323550311	0.0415666917628663	10001	4517	1.67862408917158e-60	2.97116463783369e-58
Anaerococcus_vaginalis	BMI	BMI	0.186679367995396	0.0121222329199471	10001	1221	6.65274495730507e-53	1.00931644923685e-50
Gardnerella_leopoldii	Cohort	BV only	0.81155162272178	0.0536386985055242	10001	8197	3.78585013640379e-51	5.02571605607603e-49
Gardnerella_spA	Cohort	BV only	0.764660703912847	0.0516953368101506	10001	7946	5.46338865617482e-49	6.44679861428629e-47
Gardnerella_swidsinskii	Cohort	BV only	0.733395809809473	0.0526146642580646	10001	9970	9.42538163277879e-44	1.00097552940111e-41
Lactobacillus_helveticus	Cohort	BV only	-0.268658213663776	0.0196393813512954	10001	2679	3.22814139792731e-42	3.11662378599891e-40
Aerococcus_christensenii	Cohort	BV only	0.492782818386276	0.0405856949745494	10001	3629	1.09536542417007e-33	9.69398400390516e-32
Fannyhessea_vaginae	Cohort	BV only	0.716401076962965	0.0591869149733635	10001	7782	1.72461966930821e-33	1.40888160677332e-31
Prevotella_bivia	Cohort	BV only	0.648864653997525	0.0537282384298693	10001	6985	2.3916056000475e-33	1.81420367660746e-31
Gardnerella_spG	Cohort	BV only	0.387509825508451	0.034020873738486	10001	3714	7.14038842186728e-30	5.05539500268203e-28
Coriobacteriales_bacterium	Cohort	BV only	0.553157171855691	0.0505277723043143	10001	5783	9.80938818997279e-28	6.51098141109444e-26
Megasphaera_lornae	Cohort	BV only	0.618366753430424	0.0568852081164558	10001	7418	2.26914005829053e-27	1.41754514229679e-25
Lactobacillus_kefiranofaciens	Cohort	BV only	-0.17345928036723	0.0163794263445233	10001	1565	4.55507151194556e-26	2.68749219204788e-24
Lactobacillus_jensenii	Cohort	BV only	-0.600905279264669	0.0576633585290345	10001	7995	2.68282589701593e-25	1.4995584750689e-23
Corynebacterium_pseudogenitalium	BMI	BMI	0.101616614637196	0.00981520668572607	10001	1016	5.42707107961655e-25	2.88177474327639e-23
Prevotella_timonensis	Cohort	BV only	0.56187707334802	0.0554154624233506	10001	7055	4.83117438443744e-24	2.44319390298693e-22
Streptococcus_anginosus	BMI	BMI	0.171212658328287	0.0177586611077135	10001	2197	6.67950123850193e-22	3.22437741604048e-20
Clostridiales_bacterium	BMI	BMI	0.085463998467056	0.00893934607594877	10001	1089	1.45035751134904e-21	6.69686816109862e-20
Peptoniphilus_vaginalis	BMI	BMI	0.0890803434406757	0.00967454575716643	10001	1294	4.00178938513085e-20	1.7707918029204e-18
Gardnerella_spB	Cohort	BV only	0.375068118101814	0.040769068244503	10001	4636	4.30383906515458e-20	1.82827083487766e-18
Gardnerella_piotii	Cohort	BV&UTI	0.719697547715995	0.078634845376895	10001	9242	6.65930250286394e-20	2.72006894540058e-18
Peptoniphilus_lacrimalis	AGE	AGE	0.134341798801656	0.015109624666036	10001	1597	7.09532015653913e-19	2.79082592823872e-17
Gardnerella_spA	Cohort	BV&UTI	0.693792469858675	0.0790887113112436	10001	7946	2.03606756120188e-18	7.72251339284426e-17
Porphyromonas_uenonis	AGE	AGE	0.242462480566356	0.0278803014606702	10001	5023	3.96021881365932e-18	1.45025944141593e-16
Gardnerella_vaginalis	Cohort	BV&UTI	0.669815264528326	0.0774013983096155	10001	9991	5.75044413090888e-18	2.03565722234174e-16
Prevotella_bivia	Cohort	BV&UTI	0.700830752707957	0.0821988481097821	10001	6985	1.7338699235422e-17	5.93990277032845e-16
Gardnerella_leopoldii	Cohort	BV&UTI	0.698853829859936	0.0820618609526354	10001	8197	1.88677470204391e-17	6.26173354240823e-16
Megasphaera_hutchinsoni	Cohort	BV only	0.235487456220686	0.027665418227095	10001	3008	1.95596320826862e-17	6.29464523388266e-16
Anaerococcus_vaginalis	AGE	AGE	0.142693439984774	0.0168876320766178	10001	1221	3.33135904403329e-17	1.04055979551863e-15
Peptoniphilus_harei	AGE	AGE	0.190702907503307	0.0226474676923166	10001	2620	4.26449514368086e-17	1.29396966931116e-15
Prevotella_amnii	Cohort	BV only	0.414587779562584	0.0495145836369775	10001	5524	6.3689464719525e-17	1.85470182514529e-15
Prevotella_corporis	BMI	BMI	0.0857440581967379	0.0102425881483142	10001	1481	6.46176718741767e-17	1.85470182514529e-15
Lactobacillus_amylovorus	Cohort	BV&UTI	-0.518585412288953	0.0635928942115195	10001	4517	3.9192402153253e-16	1.09532450228302e-14
Prevotella_timonensis	AGE	AGE	0.273637993116797	0.0335949578302597	10001	7055	4.23941626832235e-16	1.15442566075855e-14
Finegoldia_magna	AGE	AGE	0.205437171678768	0.0254671350638059	10001	3880	8.0490446137667e-16	2.13702134495506e-14
Sneathia_vaginalis	Cohort	BV only	0.362221796983149	0.0453997689988989	10001	4113	1.64400872437298e-15	4.25838357386366e-14
Prevotella_buccalis	Cohort	BV only	0.360444862171371	0.045653449768874	10001	4919	3.20239831508999e-15	8.09749288244182e-14
Dialister_microaerophilus	Cohort	BV only	0.27517477502076	0.0349391314380709	10001	3641	3.73722377173972e-15	9.23007359438972e-14
Peptoniphilus_vaginalis	AGE	AGE	0.105901360604328	0.0134777289245605	10001	1294	4.32261473899892e-15	1.04332201200383e-13
Sneathia_sanguinegens	Cohort	BV only	0.230904762502869	0.0296531969202498	10001	1822	7.55309575360011e-15	1.78253059784963e-13
Gardnerella_swidsinskii	Cohort	BV&UTI	0.621088430737888	0.0804951906499041	10001	9970	1.31682451105388e-14	3.04014702334614e-13
Streptococcus_anginosus	AGE	AGE	0.188349521856813	0.0247398096490062	10001	2197	2.91571048163261e-14	6.58826496062517e-13
Megasphaera_hutchinsoni	RACE	BLACK	0.641443915524297	0.0847785587807542	10001	3008	4.18519715186392e-14	9.25974869849892e-13
Dialister_microaerophilus	BMI	BMI	0.109831755108962	0.0152043937822167	10001	3641	5.42959398618317e-13	1.1767813904748e-11
